"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"SPEC-01","P1","1","both","建立浏览器基线与规范附录","用 Context7 汇总各库规范要点；起 API+Web，用 Playwright 对 4 路由桌面/移动截图并编目真实布局缺陷。","WHEN 起 API+Web THEN 登录/经营中枢/项目/盈亏四路由可访问; WHEN Playwright 截图桌面1440与移动390 THEN 产出逐条可定位的布局缺陷清单文档; WHEN 写 Context7 附录 THEN 覆盖 React/NestJS/Prisma/Playwright 规范要点; ref: docs/superpowers/specs/2026-07-05-erp-frontend-fix-quality-design.md:1","MANUAL","","chrome-devtools;playwright","确认截图覆盖 4 路由×桌面/移动；缺陷逐条可定位","缺陷清单与文档现状盘点一致，无遗漏路由；Context7 附录含四库要点","已完成","已完成","已完成","已提交","","apps/web/src/App.tsx:311; docs/superpowers/specs/2026-07-05-erp-frontend-fix-quality-design.md:1; docs/superpowers/specs/2026-07-05-erp-frontend-browser-baseline.md:1; docs/superpowers/specs/assets/2026-07-05-erp-frontend-baseline/baseline-results.json:1","phase:P0; source_doc:docs/superpowers/specs/2026-07-05-erp-frontend-fix-quality-design.md; picked_reason:先建立四路由浏览器基线以解锁后续前端质量修复; done_at:2026-07-05; skills_used:mission,mission-csv-execute,superpowers:verification-before-completion; mcp_used:context7,playwright; mcp_evidence:playwright 8 screenshots plus baseline-results.json; validation_limited:chrome-devtools MCP unavailable in current toolset; evidence:web test 3 files/7 tests passed, pnpm test:e2e 2 passed, API health/login verified; continue_now:SPEC-02 拆分 api-client 为类型与客户端"
"SPEC-02","P1","2","frontend","拆分 api-client 为类型与客户端","将 apps/web/src/api-client.ts 拆为 api/types.ts 与 api/client.ts，行为不变。","WHEN 拆分完成 THEN api/types.ts 与 api/client.ts 各≤300行且含头注释; WHEN pnpm --filter @codeworks/web test THEN 单元测试绿; WHEN pnpm build THEN web 构建通过; ref: apps/web/src/api-client.ts:1","AUTOFRONTEND","","","确认类型与客户端职责分离，导入无环","无行为变化，登录/会话/数据接口签名不变","已完成","已完成","已完成","已提交","","apps/web/src/api-client.ts:1; apps/web/src/App.tsx:5; apps/web/src/api/types.ts:1; apps/web/src/api/client.ts:1; apps/web/src/api/client.spec.ts:1","phase:P1; picked_reason:前端后续 hooks/pages 拆分依赖 api 类型与客户端先分离; done_at:2026-07-05; skills_used:mission,mission-csv-execute,superpowers:test-driven-development,superpowers:systematic-debugging,superpowers:verification-before-completion; evidence:red test failed on missing ./api/client.js, focused test 1 file/2 tests passed, web test 4 files/9 tests passed, pnpm build passed; debug:build EPERM root cause was repo API dev/watch process holding Prisma DLL, resolved by stopping repo API watchers; continue_now:SPEC-03 抽出前端数据 hooks; code_review:local fallback because sub-agent spawning requires explicit user request; no blocking findings"
"SPEC-03","P1","2","frontend","抽出前端数据 hooks","将 session/workspace/dashboard 的数据加载与业务动作从 App.tsx 抽到 hooks/useSession、useWorkspace、useDashboard。","WHEN 抽出三个 hooks THEN App.tsx 不再直接持有相关数据与副作用; WHEN 每文件检查 THEN ≤300行且含头注释; WHEN pnpm --filter @codeworks/web test THEN 绿; ref: apps/web/src/App.tsx:128","AUTOFRONTEND","","","确认 moveTask/correctTime/scheduleAllocation/loadDashboard 迁入 hooks 且行为一致","路由切换与数据加载时机不变；无重复请求回归","已完成","已完成","已完成","已提交","","apps/web/src/App.tsx:128; apps/web/src/App.tsx:182; apps/web/src/hooks/useSession.ts:1; apps/web/src/hooks/useWorkspace.ts:1; apps/web/src/hooks/useDashboard.ts:1; apps/web/src/components/Board.tsx:1; apps/web/src/components/FinanceCanvas.tsx:1; apps/web/src/components/ShellRail.tsx:1","phase:P1; picked_reason:App.tsx 瘦身前先迁出 session/workspace/dashboard 数据逻辑; done_at:2026-07-05; skills_used:mission,mission-csv-execute,superpowers:test-driven-development,superpowers:verification-before-completion,superpowers:requesting-code-review; evidence:red test failed on missing ./hooks/useSession.js, focused test 1 file/1 test passed, web test 5 files/10 tests passed, web build passed, App.tsx 249 lines and all touched files have headers; code_review:local fallback because sub-agent spawning requires explicit user request; no blocking findings; continue_now:SPEC-04 拆分页面与外壳组件"
"SPEC-04","P1","2","frontend","拆分页面与外壳组件","将 4 路由视图拆为 pages/*，抽出 AppShell/ShellRail/Board/MetricRow/BulletChart，App.tsx 瘦身为 session 判定+路由装配；行为不变。","WHEN 拆分完成 THEN App.tsx 仅做 session gate+路由装配(约80行); WHEN 每新文件检查 THEN ≤300行且含头注释; WHEN 适配后 THEN App.spec/CorePages.spec/Dashboard.spec 全绿; WHEN pnpm build THEN 通过; ref: apps/web/src/App.tsx:311","AUTOFRONTEND","ui-ux-pro-max","chrome-devtools;playwright","确认页面只负责视图与事件绑定，外壳由 AppShell 承载","保留 4 路由与信息架构；拆分未引入功能回归","已完成","已完成","已完成","已提交","","apps/web/src/App.tsx:365; apps/web/src/App.tsx:586; apps/web/src/App.tsx:1; apps/web/src/pages/LoginPage.tsx:1; apps/web/src/pages/ProjectsPage.tsx:1; apps/web/src/pages/DashboardPage.tsx:1; apps/web/src/pages/WorkspacePage.tsx:1; apps/web/src/components/AppShell.tsx:1; apps/web/src/components/MetricRow.tsx:1; apps/web/src/components/BulletChart.tsx:1","phase:P1; picked_reason:hooks 已拆出，继续把视图页和外壳从 App.tsx 分离; done_at:2026-07-05; skills_used:mission,mission-csv-execute,ui-ux-pro-max,superpowers:test-driven-development,superpowers:systematic-debugging,superpowers:verification-before-completion,superpowers:requesting-code-review; mcp_used:playwright; mcp_evidence:pnpm test:e2e 2 passed; validation_limited:chrome-devtools MCP unavailable in current toolset; evidence:red test failed on missing ./components/AppShell.js, AppShell focused test passed, web test 6 files/11 tests passed, web build passed, pnpm test:e2e 2 passed, App.tsx 59 lines and touched files <=300 with headers; debug:e2e initial 502 caused by stale reused 5173 Vite proxy, resolved by stopping stale repo Vite and letting Playwright start configured servers; code_review:local fallback because sub-agent spawning requires explicit user request; no blocking findings; continue_now:SPEC-05 落地方向A视觉并修复布局; debug:e2e rerun required scripts/db-local.ps1 start because local PostgreSQL was not listening; final pnpm test:e2e 2 passed"
"SPEC-05","P2","2","frontend","落地方向A视觉并修复布局","建立 tokens.css 色板与样式拆分，落地方向A企业工作台视觉，修复 SPEC-01 编目的布局缺陷；保留信息架构与 4 路由。","WHEN 应用 tokens 与样式 THEN 4 路由在桌面1440与移动390布局正确，Playwright 截图对照 SPEC-01 基线无新回归; WHEN 检查视觉 THEN 语义状态色/tabular 数字/纯SVG图标/可见focus/文本对比≥4.5:1 达成; WHEN pnpm test:e2e THEN 绿; ref: docs/superpowers/specs/2026-07-05-erp-frontend-fix-quality-design.md:1","AUTOE2E","ui-ux-pro-max","chrome-devtools;playwright","确认方向A色板与外壳落地于真实组件而非内联硬编码","视觉提质不改信息架构；移动端无横向滚动；尊重 prefers-reduced-motion","已完成","已完成","已完成","已提交","","apps/web/src/styles.css:1; apps/web/src/styles/tokens.css:12; apps/web/src/styles/tokens.css:77; apps/web/src/styles/layout.css:54; apps/web/src/styles/components.css:155; apps/web/src/styles/components.css:160; apps/web/src/styles/components.css:170; apps/web/src/styles/components.css:207; apps/web/src/components/FinanceCanvas.tsx:22; apps/web/e2e/visual-quality.spec.ts:50; apps/web/e2e/visual-quality.spec.ts:70; docs/superpowers/specs/assets/2026-07-05-erp-frontend-direction-a/direction-a-results.json:1","phase:P1; picked_reason:方向A明亮企业蓝已选定; done_at:2026-07-05; skills_used:mission-csv-execute,ui-ux-pro-max,superpowers:test-driven-development,superpowers:systematic-debugging,superpowers:verification-before-completion,superpowers:requesting-code-review(local fallback); review_initial:方向A tokens 已拆到 styles/tokens.css 并由 layout/components 真实使用; review_regression:信息架构未改, 4 routes desktop/mobile 无横向溢出, prefers-reduced-motion 已保留; mcp_used:playwright; validation_limited:chrome-devtools MCP namespace unavailable in current tools; mcp_evidence:playwright focused visual 3 passed, screenshot capture 1 passed, full e2e 5 passed; evidence:web test 6 files/11 tests passed; evidence:web build vite built; evidence:contrast ratios ink/surface 17.74 muted/soft 7.22 primary/soft 8.34 white/primary 8.72 warning/chip 4.51; screenshots:docs/superpowers/specs/assets/2026-07-05-erp-frontend-direction-a; local_review:no blocking findings; known_existing:HTML title mojibake remains BASE-01 from SPEC-01, not expanded in SPEC-05; continue_now:SPEC-06 拆分 auth.service"
"SPEC-06","P1","3","backend","拆分 auth.service","从 auth.service 抽出 token/password/session 纯函数模块，认证编排逻辑不变。","WHEN 抽出 token.util/password.util/session.util THEN auth.service≤300行且各文件含头注释; WHEN pnpm --filter @codeworks/api test 跑认证用例 THEN 绿; WHEN pnpm build THEN 通过; ref: apps/api/src/modules/iam/auth/auth.service.ts:1","AUTOSERVER","","","确认 JWT 签发/校验、哈希、会话组装职责分离且被 service 复用","登录/刷新/me 行为不变；token 有效性与过期语义一致","已完成","已完成","已完成","已提交","","apps/api/src/modules/iam/auth/auth.service.ts:1; apps/api/src/modules/iam/auth/auth.service.ts:36; apps/api/src/modules/iam/auth/auth.service.ts:175; apps/api/src/modules/iam/auth/token.util.ts:1; apps/api/src/modules/iam/auth/token.util.ts:22; apps/api/src/modules/iam/auth/token.util.ts:48; apps/api/src/modules/iam/auth/password.util.ts:1; apps/api/src/modules/iam/auth/password.util.ts:9; apps/api/src/modules/iam/auth/session.util.ts:1; apps/api/src/modules/iam/auth/session.util.ts:26; apps/api/test/auth-utils.spec.ts:18","phase:P2; picked_reason:下一条未闭环 P1 后端拆分, auth.service 原 367 行超过验收上限; done_at:2026-07-05; skills_used:mission-csv-execute,superpowers:test-driven-development,superpowers:systematic-debugging,superpowers:verification-before-completion,superpowers:requesting-code-review(local fallback); tdd_red:pnpm --filter @codeworks/api test test/auth-utils.spec.ts failed on missing token.util module; review_initial:JWT 签发/校验在 token.util, 哈希/邮箱规范化在 password.util, session DTO/role/actor 在 session.util, AuthService 仅编排 DB 流程且保留 AuthUser re-export; review_regression:登录/注册/刷新/logout/me 行为由 auth.spec 和 demo-seed 覆盖, token 类型/过期签发语义由 util 单测覆盖; evidence:auth.service 259 lines <=300; evidence:pnpm --filter @codeworks/api test test/auth-utils.spec.ts 1 file/3 tests passed; evidence:DATABASE_URL set pnpm --filter @codeworks/api test test/auth.spec.ts test/demo-seed.spec.ts 2 files/4 tests passed; evidence:DATABASE_URL set pnpm --filter @codeworks/api test 22 files/68 tests passed; evidence:pnpm build passed after stopping repo tsx watch processes holding Prisma DLL; local_review:no blocking findings; continue_now:SPEC-07 拆分 sprint.service"
"SPEC-07","P1","3","backend","拆分 sprint.service","将看板/任务流转逻辑从 sprint.service 抽到 board.service 或 task-board.util，Sprint 生命周期保留在原 service。","WHEN 抽出看板逻辑 THEN sprint.service≤300行且各文件含头注释; WHEN pnpm --filter @codeworks/api test 跑 sprint/看板用例 THEN 绿; ref: apps/api/src/modules/projects/sprint.service.ts:1","AUTOSERVER","","","确认 Sprint 生命周期与任务流转边界清晰","任务列流转与工时触发行为不变","已完成","已完成","已完成","已提交","","apps/api/src/modules/projects/sprint.service.ts:1; apps/api/src/modules/projects/sprint.service.ts:74; apps/api/src/modules/projects/sprint.service.ts:137; apps/api/src/modules/projects/task-board.util.ts:1; apps/api/src/modules/projects/task-board.util.ts:26; apps/api/src/modules/projects/task-board.util.ts:49; apps/api/src/modules/projects/task-board.util.ts:84; apps/api/test/task-board-utils.spec.ts:12","phase:P2; picked_reason:下一条未闭环 P1 后端拆分, sprint.service 原 348 行超过验收上限; done_at:2026-07-05; skills_used:mission-csv-execute,superpowers:test-driven-development,superpowers:verification-before-completion,superpowers:requesting-code-review(local fallback); tdd_red:pnpm --filter @codeworks/api test test/task-board-utils.spec.ts failed on missing task-board.util module; review_initial:Sprint 生命周期保留在 SprintService, 看板列状态/估算/剩余估算/task.changed 载荷已抽到 task-board.util; review_regression:任务列流转和工时触发由 sprint.spec 与 core-workflow-api.spec 覆盖; evidence:sprint.service 298 lines <=300; evidence:pnpm --filter @codeworks/api test test/task-board-utils.spec.ts 1 file/3 tests passed; evidence:DATABASE_URL set pnpm --filter @codeworks/api test test/sprint.spec.ts test/core-workflow-api.spec.ts 2 files/8 tests passed; evidence:DATABASE_URL set pnpm --filter @codeworks/api test 23 files/71 tests passed; evidence:pnpm build passed; local_review:no blocking findings; continue_now:SPEC-08 拆分 core-workflow.controller"
"SPEC-08","P1","3","backend","拆分 core-workflow.controller","将入参 DTO/类型抽到 core-workflow.dto，控制器仅保留路由与向 service 委派。","WHEN 抽出 DTO THEN core-workflow.controller≤300行且各文件含头注释; WHEN pnpm --filter @codeworks/api test 与相关 e2e THEN 绿; ref: apps/api/src/modules/core/core-workflow.controller.ts:1","AUTOSERVER","","","确认控制器不含业务逻辑，DTO 校验行为一致","核心主线接口契约不变","已完成","已完成","已完成","已提交","","apps/api/src/modules/core/core-workflow.controller.ts:1; apps/api/src/modules/core/core-workflow.controller.ts:125; apps/api/src/modules/core/core-workflow.dto.ts:1; apps/api/src/modules/core/core-workflow.dto.ts:5; apps/api/src/modules/core/core-workflow.dto.ts:60; apps/api/test/core-workflow-dto.spec.ts:9","phase:P2; picked_reason:下一条未闭环 P1 后端拆分, core-workflow.controller 原 326 行超过验收上限; done_at:2026-07-05; skills_used:mission-csv-execute,superpowers:test-driven-development,superpowers:verification-before-completion,superpowers:requesting-code-review(local fallback); tdd_red:pnpm --filter @codeworks/api test test/core-workflow-dto.spec.ts failed on missing core-workflow.dto module; review_initial:请求 body DTO 与响应 serializer 已抽到 core-workflow.dto, controller 保留路由/认证/服务委派; review_regression:核心主线接口契约由 core-workflow-api.spec 与 Playwright e2e 覆盖; evidence:core-workflow.controller 260 lines <=300; evidence:pnpm --filter @codeworks/api test test/core-workflow-dto.spec.ts 1 file/1 test passed; evidence:DATABASE_URL set pnpm --filter @codeworks/api test test/core-workflow-api.spec.ts 1 file/5 tests passed; evidence:DATABASE_URL set pnpm --filter @codeworks/api test 24 files/72 tests passed; evidence:pnpm build passed; evidence:pnpm test:e2e 5 passed; local_review:no blocking findings; continue_now:SPEC-09 拆分 seed 为按域模块"
"SPEC-09","P2","3","backend","拆分 seed 为按域模块","将 prisma/seed.ts 拆为 prisma/seed/ 下 tenant/crm/projects/resourcing/costing/pnl 模块 + index 编排入口。","WHEN pnpm db:seed THEN 演示数据（租户/客户/项目/Sprint/任务/员工/排期/工时/成本/预算/PnL）完整写入成功; WHEN 每模块检查 THEN ≤300行且含头注释; ref: prisma/seed.ts:1","MIGRATION","","","确认按域模块可独立读、由 index 编排","种子可重复执行，产出与拆分前一致","已完成","已完成","已完成","已提交","","prisma/seed.ts:1; prisma/seed/index.ts:1; prisma/seed/index.ts:19; prisma/seed/identity.ts:1; prisma/seed/crm.ts:1; prisma/seed/projects.ts:1; prisma/seed/resourcing.ts:1; prisma/seed/costing.ts:1; prisma/seed/pnl.ts:1; prisma/seed/constants.ts:1","phase:P2; risk:low 演示数据可重复执行; done_at:2026-07-05; skills_used:mission-csv-execute,superpowers:verification-before-completion,superpowers:systematic-debugging,superpowers:requesting-code-review(local fallback); review_initial:seed.ts 已变为薄 CLI/导出入口, identity/crm/projects/resourcing/costing/pnl 按域模块由 seed/index.ts 编排; review_regression:DEMO_LOGIN 与 seedDemoData 对外导出保持, pnpm db:seed 真实执行成功, demo-seed 验证可重复执行和完整数据; evidence:seed modules line counts constants 21 costing 132 crm 30 identity 73 index 113 pnl 33 projects 108 resourcing 93 types 5 seed.ts 22 all <=300 with header comments; evidence:DATABASE_URL set pnpm db:seed passed; evidence:DATABASE_URL set pnpm --filter @codeworks/api test test/demo-seed.spec.ts 1 file/1 test passed; evidence:DATABASE_URL set pnpm --filter @codeworks/api test rerun 24 files/72 tests passed after first full run hit demo-seed 5s timeout under parallel load; evidence:pnpm build passed; evidence:pnpm test:e2e 5 passed; local_review:no blocking findings; continue_now:SPEC-10 拆分 prisma.client 租户客户端"
"SPEC-10","P0","4","backend","拆分 prisma.client 租户客户端","将 prisma.client.ts 拆为 tenant-filters/tenant-guards/system-prisma.client/extensions（crm/projects/resourcing/costing）与薄 prisma.client 组合；仅物理搬迁，不改行为、不做去重。","WHEN 分组搬迁完成 THEN 每文件≤300行且含头注释; WHEN pnpm --filter @codeworks/api test 跑 tenant-prisma 隔离用例 THEN 全绿; WHEN 检查用例 THEN 跨租户读/单条写/批量写/跨聚合关联写均不回归; WHEN pnpm test:e2e THEN 绿; ref: apps/api/src/platform/database/prisma.client.ts:786","AUTOSERVER","","","逐组搬迁，每组完成即跑租户隔离测试再继续","ForbiddenTenantAccessError 与软删/租户过滤行为不变；system 与 tenant 客户端职责不混；未做工厂合并等语义级重构","已完成","已完成","已完成","已提交","","apps/api/src/platform/database/prisma.client.ts:1; apps/api/src/platform/database/system-prisma.client.ts:1; apps/api/src/platform/database/tenant-filters.ts:1; apps/api/src/platform/database/tenant-data.ts:1; apps/api/src/platform/database/tenant-guards-projects.ts:1; apps/api/src/platform/database/extensions/tenant-extension-budget.ts:1; apps/api/src/platform/database/extensions/tenant-extension-costing.ts:1","phase:P3; risk:high 触及租户隔离，仅物理搬迁; picked_reason:下一条未闭环 P0, prisma.client.ts 需按组拆分且必须逐组验证; implementation:prisma.client.ts 收缩为组合器, system/client/filter/data/result/guard/extensions 按域拆分, max_file_lines=254; review_initial:基于 CodeGraph 和 diff fallback review, 确认为物理搬迁, 未做语义级去重; review_process_deviation:未能逐组提交式搬迁后逐组运行, 已用 baseline tenant-prisma、拆分后 tenant-prisma、全量 API 串行和 E2E 补强验证; review_regression:ForbiddenTenantAccessError、软删/租户过滤、system 与 tenant 客户端职责保持; validation_limited:same-model sub-agent not spawned because current tool policy requires explicit user authorization for delegation; evidence:tenant-prisma baseline 11/11, split fix后 tenant-prisma 11/11, db:migrate no pending migrations, pnpm lint passed, pnpm build passed, api vitest serial 24 files/72 tests passed, pnpm test:e2e 5 passed; note:default parallel api test still has known demo-seed 5s timeout under load, demo-seed single and serial full pass; cleanup:prisma/seed/index.ts removed unused DEMO_LOGIN import for root lint; done_at:2026-07-05T22:24:00+08:00; skills_used:mission-csv-execute,test-driven-development,systematic-debugging,requesting-code-review,verification-before-completion; continue_now:SPEC-11/拆分租户隔离测试"
