"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"SPEC-01","P1","1","infra","搭建 pnpm monorepo 与 TS 工具链脚手架","初始化 monorepo（apps/api NestJS、apps/web React+Vite、packages/shared 共享类型），配置 lint/format、Vitest/Playwright、开发用 Docker Compose(PG+Redis)。不含业务逻辑。","WHEN 执行 pnpm install 与构建 THEN api 与 web 均可编译且 api 健康检查端点返回 200; WHEN 运行 lint 与空测试套件 THEN 全部通过; WHEN docker compose 起开发依赖 THEN PostgreSQL 与 Redis 可连接; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:95","AUTOSERVER","","","确认 api/web/shared 三包边界清晰、共享类型贯通、脚本统一。","确认后续模块均基于此脚手架，无重复工具链配置漂移。","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:95; pnpm-workspace.yaml:1; package.json:1; apps/api/src/health/health.controller.ts:1; apps/web/src/App.tsx:1; packages/shared/src/index.ts:1","picked_reason:所有模块的地基先行; assumption:当前仓库干净且无现成 worktree, 本轮在当前工作区推进; done_at:2026-07-04T20:44:07+08:00; skills_used:mission,test-driven-development,systematic-debugging,verification-before-completion,using-git-worktrees; mcp_used:none; evidence:node --test tests/spec-01.workspace.test.mjs通过,pnpm --filter @codeworks/api test通过,pnpm build通过,pnpm lint通过,pnpm test通过,runtime_health:GET http://127.0.0.1:3000/health => 200; validation_limited:docker CLI unavailable in current environment; validation_gap:docker compose 起开发依赖并验证 PostgreSQL/Redis 连接 | 已产出 docker-compose.yml 且完成其余构建/测试/运行时验收 | 未在本机执行容器连通性; manual_test:安装 Docker 后执行 docker compose up -d 并验证 PostgreSQL/Redis 可连接; continue_now:SPEC-02/建立 PostgreSQL + Prisma 基座与基类约定"
"SPEC-02","P0","1","backend","建立 PostgreSQL + Prisma 基座与基类约定","接入 PostgreSQL 与 Prisma，落地基类约定(id/tenant_id/created_updated/软删除)、金额 Decimal+currency，建立迁移与种子流程。","WHEN 运行首个 Prisma 迁移 THEN 数据库 schema 生成且含基类字段; WHEN 写入含金额记录 THEN 以 Decimal 存储且默认 currency=CNY; WHEN 软删除一条记录 THEN 默认查询不返回该记录; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:142","MIGRATION","","","确认基类约定统一抽象、迁移可重复执行、金额不用 float。","确认所有实体继承基类、无表遗漏 tenant_id 或软删除。","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:142; prisma/schema.prisma:1; prisma/migrations/20260704130000_init/migration.sql:1; apps/api/src/platform/database/prisma.client.ts:1; apps/api/test/prisma-base.spec.ts:1; prisma/seed.ts:1; scripts/db-local.ps1:1","picked_reason:数据层契约先行,后续所有实体依赖; assumption:当前环境使用本地 PostgreSQL CLI(initdb/pg_ctl/psql)完成真实迁移与数据验收; done_at:2026-07-04T22:23:26+08:00; skills_used:mission,test-driven-development,systematic-debugging,verification-before-completion,requesting-code-review; mcp_used:context7:/prisma/prisma/7.6.0 docs for config/seed/client extension patterns; evidence:pnpm db:generate通过,本地PostgreSQL 55432上pnpm db:migrate首次应用20260704130000_init且重复执行No pending migrations,pnpm --filter @codeworks/api test with DATABASE_URL通过3项,seed后psql查到demo/MVP Demo Budget/100000.00/CNY,pnpm build通过,pnpm lint通过,pnpm test通过; review:fallback independent-context review completed, fixed dotenv loading gap; risk:low Tenant作为租户根表不带tenant_id,租户内业务表Budget已带tenant_id和deleted_at; continue_now:SPEC-03/实现多租户上下文与自动隔离"
"SPEC-03","P0","1","backend","实现多租户上下文与自动隔离","建立请求级租户上下文，Prisma 中间件自动注入 tenant_id 过滤，关键敏感表加 PostgreSQL 行级安全(RLS)兜底。","WHEN 携带租户 A 令牌查询 THEN 只返回租户 A 数据; WHEN 以租户 A 令牌读写租户 B 记录 THEN 拒绝并审计; WHEN 直连数据库绕过应用层 THEN RLS 仍阻止跨租户读取; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:111","AUTOSERVER","","","确认中间件对所有查询生效无遗漏、上下文来源可信(来自校验后的令牌)。","确认新增模块自动继承隔离、越权用例覆盖读写与批量。","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:111; apps/api/src/platform/tenant/tenant-context.ts:1; apps/api/src/platform/database/prisma.client.ts:1; apps/api/test/tenant-prisma.spec.ts:1; prisma/migrations/20260704143000_budget_rls/migration.sql:1; prisma/migrations/20260704153000_audit_log_rls/migration.sql:1","risk:high 跨租户越权是安全红线; picked_reason:多租户隔离最外层防线; assumption:认证令牌尚未实现, 本条以已校验令牌后的 TenantContext API 作为可信上下文入口; done_at:2026-07-04T23:20:34+08:00; skills_used:mission,systematic-debugging,verification-before-completion,requesting-code-review; mcp_used:codegraph; evidence:pnpm lint通过,pnpm test通过,DATABASE_URL API test 4 files/10 tests passed,pnpm build通过,pnpm db:migrate应用20260704153000_audit_log_rls,psql SET ROLE codeworks_app验证budgets/audit_logs仅返回spec03-a且跨租户UPDATE 0; review:fallback independent-context review completed, fixed AuditLog应用层隔离与RLS缺口; validation_limited:same-model sub-agent unavailable due current runtime delegation policy; continue_now:SPEC-04/建立审计日志与领域事件基础设施"
"SPEC-04","P1","1","backend","建立审计日志与领域事件基础设施","提供领域事件总线(事务提交后发布)与 AuditLog(只追加,记录谁/何时/实体/前后值)。","WHEN 关键写操作提交事务 THEN 对应领域事件在提交后发布一次; WHEN 事务回滚 THEN 不发布事件; WHEN 记录审计 THEN AuditLog 含操作者/时间/实体/变更前后且不可更新; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:262","AUTOSERVER","","","确认事件在事务提交后发布(outbox 思路)、审计不可篡改。","确认跨模块通信仅经事件、无直接互相 import。","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:262; apps/api/src/platform/audit/audit.service.ts:1; apps/api/src/platform/events/domain-event-bus.ts:1; apps/api/test/audit.service.spec.ts:1; apps/api/test/domain-events.spec.ts:1; prisma/migrations/20260704162000_audit_log_append_only/migration.sql:1","picked_reason:成本/通知/审计等跨模块联动依赖此设施; assumption:MVP先提供进程内事务后事件总线与只追加审计服务, 后续需要跨进程可靠投递时再扩展 outbox 表/worker; done_at:2026-07-04T23:33:11+08:00; skills_used:mission,test-driven-development,systematic-debugging,verification-before-completion,requesting-code-review; mcp_used:codegraph; tdd:red API tests failed for missing audit/events modules and direct DB audit update succeeded, green after implementation and append-only trigger; evidence:pnpm lint通过,pnpm test通过,DATABASE_URL API test 6 files/15 tests passed,pnpm build通过,pnpm db:migrate应用20260704162000_audit_log_append_only; review:fallback independent-context review completed, no blocking findings; validation_limited:same-model sub-agent unavailable due current runtime delegation policy; continue_now:SPEC-05/实现账号认证与令牌体系"
"SPEC-05","P0","2","backend","实现账号认证与令牌体系","User 账号(argon2 哈希)、JWT access/refresh 与轮换、登出失效、注册与登录 API。","WHEN 正确凭证登录 THEN 返回 access 与 refresh 且密码以 argon2 存储; WHEN refresh 轮换 THEN 旧 refresh 失效; WHEN 登出后用旧令牌访问 THEN 被拒绝; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:260","AUTOSERVER","","","确认密码不落明文、令牌过期与轮换正确、响应不泄漏敏感信息。","确认认证中间件保护所有非公开端点。","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:260; apps/api/src/modules/iam/auth/auth.service.ts:1; apps/api/src/modules/iam/auth/auth.controller.ts:1; apps/api/test/auth.spec.ts:1; prisma/migrations/20260704170000_auth_users/migration.sql:1; prisma/migrations/20260704172000_user_access_token_version/migration.sql:1","picked_reason:所有受保护能力依赖认证; assumption:MVP先实现本地邮箱密码账号与HS256 JWT, 密钥来自环境变量或测试默认值, 后续生产部署必须配置强密钥; done_at:2026-07-05T00:03:38+08:00; skills_used:mission,test-driven-development,systematic-debugging,verification-before-completion,requesting-code-review; mcp_used:codegraph; tdd:red auth routes 404, logout后旧access仍200, green after auth module and access_token_version; evidence:pnpm lint通过,pnpm test通过,DATABASE_URL API test 7 files/18 tests passed,pnpm build通过,pnpm db:migrate应用auth_users和user_access_token_version; review:fallback independent-context review completed, no passwordHash in responses, refresh token stored hashed, logout revokes refresh and invalidates access version; validation_limited:same-model sub-agent unavailable due current runtime delegation policy; continue_now:SPEC-06/实现租户开通与席位成员管理"
"SPEC-06","P0","2","backend","实现租户开通与席位成员管理","Tenant 与 Membership(用户↔租户,含席位/状态),支持开通新租户与成员加入。按席位订阅地基。","WHEN 开通新租户 THEN 创建 Tenant 与首个管理员 Membership; WHEN 席位已满再加成员 THEN 拒绝; WHEN 成员被停用 THEN 无法登录该租户; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:167","AUTOSERVER","","","确认开通流程原子、席位计数准确。","确认成员状态变更即时影响访问、跨租户成员不串。","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:167; apps/api/src/modules/iam/tenant/tenant.service.ts:1; apps/api/src/modules/iam/tenant/tenant.controller.ts:1; apps/api/test/tenant-management.spec.ts:1; prisma/migrations/20260705002000_memberships/migration.sql:1","picked_reason:按席位订阅与多租户开通地基; assumption:MVP以Tenant.seatLimit和Membership.status实现席位/状态, 登录可选择tenantSlug且仅允许active成员; done_at:2026-07-05T00:18:11+08:00; skills_used:mission,test-driven-development,verification-before-completion,requesting-code-review; mcp_used:codegraph; tdd:red /tenants/open returned 404, green after Membership model and tenant module; evidence:tenant-management.spec 3 tests passed,DATABASE_URL API test 8 files/21 tests passed,pnpm lint通过,pnpm build通过,pnpm test通过; review:fallback independent-context review completed, openTenant事务创建Tenant+ADMIN Membership, addMember事务内计数并拒绝满席, inactive membership blocks tenantSlug login; validation_limited:same-model sub-agent unavailable due current runtime delegation policy; continue_now:SPEC-07/实现固定角色 RBAC 与数据及字段级权限"
"SPEC-07","P0","2","backend","实现固定角色 RBAC 与数据及字段级权限","固定四角色(管理员/PM/成员/财务)的操作级 RBAC Guard、数据级 dataScope(全部/本部门/本项目/本人)、成本与利润字段级脱敏。","WHEN 成员访问越权操作 THEN 被 Guard 拒绝; WHEN 用户查询列表 THEN 仅返回其 dataScope 内的行; WHEN 非财务或管理员读取成本或利润字段 THEN 字段被脱敏; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:237","AUTOSERVER","","","确认默认拒绝、四角色权限矩阵完整、脱敏在序列化层统一。","确认新增端点纳入权限矩阵、敏感字段无泄漏路径。","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:237; apps/api/src/platform/authz/rbac.guard.ts:1; apps/api/test/authz.spec.ts:1","risk:high 成本利润越权可见属敏感项; picked_reason:对外SaaS权限核心; assumption:当前尚无项目/部门业务端点, 本条先交付可复用authz平台能力并用单元测试证明默认拒绝、dataScope过滤和财务字段脱敏; done_at:2026-07-05T00:27:28+08:00; skills_used:mission,test-driven-development,verification-before-completion,requesting-code-review; mcp_used:codegraph; tdd:red authz module missing, green after rbac.guard implementation; evidence:authz.spec覆盖默认拒绝/四角色矩阵/dataScope/财务字段脱敏,DATABASE_URL API test 9 files/25 tests passed,pnpm test通过,pnpm build通过,pnpm lint通过; review:fallback independent-context review completed, platform authz default-deny and sensitive fields masked unless ADMIN/FINANCE; validation_limited:same-model sub-agent unavailable due current runtime delegation policy; continue_now:SPEC-08/实现组织部门树"
"SPEC-08","P1","2","backend","实现组织部门树","Department 自关联多层级树的 CRUD 与成员归属，供数据级权限的本部门范围使用。","WHEN 创建多层级部门 THEN 形成合法树且无环; WHEN 移动子树 THEN 层级关系保持一致; WHEN 按本部门 dataScope 查询 THEN 命中本部门及子部门; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:122","AUTOSERVER","","","确认树完整性(防环)、删除策略明确。","确认部门变更同步影响数据级权限范围。","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:122; apps/api/src/modules/iam/org/department.service.ts:1; apps/api/test/department.spec.ts:1; prisma/migrations/20260705004000_departments/migration.sql:1","picked_reason:数据级权限的本部门范围依赖部门树; assumption:MVP先实现Department自关联树和Membership.departmentId归属, 删除策略采用软删除字段预留但本条不开放删除API; done_at:2026-07-05T00:37:46+08:00; skills_used:mission,test-driven-development,verification-before-completion,requesting-code-review; mcp_used:codegraph; tdd:red department service missing, green after Department model and service; evidence:department.spec 3 tests passed,DATABASE_URL API test 10 files/28 tests passed,pnpm lint通过,pnpm build通过,pnpm test通过; review:fallback independent-context review completed, moveDepartment防环, 子树移动保留后代, department scope命中本部门及子部门active memberships; validation_limited:same-model sub-agent unavailable due current runtime delegation policy; continue_now:SPEC-09/实现客户与联系人管理"
"SPEC-09","P2","3","backend","实现客户与联系人管理","Customer 与 Contact 的 CRUD(轻量 CRM 的客户档案部分),供立项关联客户。","WHEN 创建客户及其联系人 THEN 关联正确且受租户隔离; WHEN 检索客户列表 THEN 支持基本筛选与分页; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:167","AUTOSERVER","superpowers:test-driven-development; superpowers:verification-before-completion; superpowers:requesting-code-review","codegraph","确认客户与联系人一对多正确、字段最简够用。","确认删除客户时联系人处理策略一致。","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:167; apps/api/src/modules/crm/customer.service.ts:1; apps/api/test/customer.spec.ts:1; apps/api/test/tenant-prisma.spec.ts:218; prisma/schema.prisma:97; prisma/migrations/20260705010000_customers_contacts/migration.sql:1; apps/api/src/platform/database/prisma.client.ts:230","picked_reason:项目需关联客户,先落客户档案; assumption:SPEC-09 MVP uses tenant-scoped Customer/Contact, customer delete is soft delete and contacts are hidden through customer scope with contact soft-delete fields reserved; done_at:2026-07-05T01:06:30+08:00; skills_used:mission,test-driven-development,systematic-debugging,verification-before-completion,requesting-code-review; mcp_used:codegraph; tdd:red customer.service missing, green after Customer/Contact schema/service, red cross-tenant contact customer link, green after contact customer tenant guard; evidence:customer.spec 4 tests passed, tenant-prisma.spec 6 tests passed, DATABASE_URL API test 11 files/33 tests passed, pnpm db:migrate No pending migrations, pnpm lint passed, pnpm build passed, pnpm test passed; review:fallback independent-context review completed, customer-contact one-to-many minimal fields verified, delete policy soft-deletes customer and contacts, contact customerId cross-tenant guard added; validation_limited:same-model sub-agent review not run because spawn_agent tool requires explicit user authorization in this runtime; continue_now:SPEC-10/实现项目聚合与生命周期状态机"
"SPEC-10","P1","3","backend","实现项目聚合与生命周期状态机","Project 手工立项与状态机(立项→进行→交付→结项,含挂起/取消)、Milestone CRUD,跃迁守卫(前置条件+权限)。","WHEN 手工立项 THEN 项目处于立项态且归属租户与客户; WHEN 未满足前置条件跃迁(如未验收即结项) THEN 拒绝; WHEN 无权限用户跃迁状态 THEN 拒绝; ref: docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:197","AUTOSERVER","superpowers:test-driven-development; superpowers:verification-before-completion; superpowers:requesting-code-review","codegraph","确认状态机跃迁矩阵完整、守卫覆盖非法路径。","确认里程碑与项目一致、状态变更发审计与事件。","已完成","已完成","已完成","已提交","","docs/superpowers/specs/2026-07-04-codeworks-psa-erp-design.md:197; apps/api/src/modules/projects/project.service.ts:1; apps/api/test/project.spec.ts:1; apps/api/test/tenant-prisma.spec.ts:251; prisma/schema.prisma:138; prisma/migrations/20260705012000_projects_milestones/migration.sql:1; apps/api/src/platform/database/prisma.client.ts:365","picked_reason:项目是核心闭环主干; assumption:SPEC-10 MVP implements Project/Milestone service-layer aggregate, lifecycle guard by actor role, and AuditLog entries for status changes; done_at:2026-07-05T01:22:30+08:00; skills_used:mission,test-driven-development,verification-before-completion,requesting-code-review; mcp_used:codegraph; tdd:red project.service missing, green after Project/Milestone schema/service and tenant isolation; evidence:project.spec 3 tests passed, tenant-prisma.spec 7 tests passed, DATABASE_URL API test 12 files/37 tests passed, pnpm db:migrate No pending migrations, pnpm lint passed, pnpm build passed, pnpm test passed; review:fallback independent-context review completed, lifecycle matrix DRAFT/ACTIVE/DELIVERING/CLOSED plus SUSPENDED/CANCELED guarded, close requires accepted milestones, MEMBER denied project.write, status changes write AuditLog and publish project.status_changed; validation_limited:same-model sub-agent review not run because spawn_agent tool requires explicit user authorization in this runtime; continue_now:SPEC-11/实现 Scrum 执行"
